44	-	0	=
17	+	52	=
8	+	21	=
7	+	36	=
95	-	47	=
21	+	38	=
1	+	12	=
94	-	32	=
66	-	60	=
48	+	2	=
65	-	38	=
80	-	67	=
67	+	12	=
69	+	19	=
71	+	27	=
84	-	17	=
89	-	36	=
82	+	6	=
23	+	57	=
1	+	99	=
82	+	14	=
51	-	12	=
86	-	66	=
55	+	9	=
11	+	39	=
29	+	26	=
14	+	67	=
82	-	78	=
100	-	85	=
68	-	38	=
95	-	28	=
57	-	6	=
12	+	69	=
68	+	15	=
51	-	40	=
87	-	33	=
41	+	57	=
71	+	11	=
68	-	28	=
40	-	22	=
70	-	24	=
6	+	17	=
80	-	52	=
20	-	7	=
34	+	19	=
72	-	71	=
100	-	70	=
53	+	36	=
27	+	31	=
17	+	65	=
100	-	3	=
29	+	63	=
54	-	4	=
21	+	58	=
100	-	66	=
30	-	14	=
50	+	16	=
99	-	56	=
67	-	25	=
51	+	37	=
48	+	12	=
23	-	12	=
1	+	98	=
79	-	36	=
68	-	29	=
56	-	45	=
14	+	20	=
79	-	13	=
29	-	19	=
24	+	69	=
6	+	75	=
71	-	25	=
93	-	16	=
27	+	47	=
32	+	48	=
74	-	19	=
69	-	61	=
92	-	8	=
77	-	33	=
81	-	27	=
84	-	55	=
34	-	29	=
50	+	45	=
19	+	55	=
34	-	5	=
27	+	63	=
73	-	56	=
11	+	29	=
50	-	16	=
97	-	16	=
6	+	5	=
73	-	15	=
43	-	36	=
57	-	23	=
57	-	4	=
13	+	4	=
37	-	32	=
28	+	13	=
93	-	89	=
57	-	42	=
76	-	58	=
41	+	35	=
53	-	31	=
35	+	49	=
29	-	16	=
25	+	66	=
22	+	56	=
16	+	28	=
7	+	29	=
58	-	43	=
15	+	59	=
41	-	3	=
85	+	4	=
76	-	40	=
33	-	22	=
91	-	81	=
19	+	62	=
56	+	25	=
59	+	36	=
71	-	11	=
6	+	62	=
90	-	33	=
7	-	4	=
16	+	74	=
5	+	77	=
10	+	34	=
39	+	5	=
13	+	38	=
89	-	79	=
44	-	0	=
53	-	41	=
96	-	78	=
41	-	6	=
53	-	44	=
51	-	1	=
14	+	60	=
88	-	59	=
68	+	19	=
52	-	24	=
92	-	51	=
36	+	44	=
47	+	52	=
31	+	20	=
55	-	33	=
60	-	19	=
56	-	5	=
7	-	4	=
71	-	71	=
25	-	17	=
39	+	39	=
82	-	44	=
73	+	4	=
23	+	56	=
48	+	3	=
95	-	0	=
52	+	44	=
78	-	49	=
32	+	45	=
65	-	42	=
40	-	25	=
51	-	48	=
16	+	83	=
81	+	2	=
97	-	93	=
52	-	40	=
72	+	14	=
25	+	39	=
89	-	1	=
92	-	3	=
65	+	28	=
34	+	17	=
48	+	34	=
91	-	4	=
100	-	84	=
32	+	28	=
33	+	19	=
16	+	11	=
65	-	14	=
3	+	75	=
68	+	8	=
89	-	27	=
47	-	13	=
85	+	15	=
74	-	57	=
2	+	6	=
7	+	1	=
86	-	48	=
46	+	46	=
60	-	54	=
28	+	45	=
90	-	19	=
46	+	26	=
80	-	54	=
83	-	68	=
23	+	58	=
53	-	14	=
86	-	56	=
45	+	31	=
46	-	7	=
14	+	58	=
91	-	60	=
23	-	15	=
17	+	4	=
1	+	75	=
15	+	67	=
22	+	15	=
81	-	55	=
91	-	90	=
60	-	13	=
29	-	6	=
43	+	38	=
46	-	44	=
71	+	27	=
70	-	63	=
18	+	44	=
37	-	2	=
25	+	59	=
67	-	24	=
7	+	36	=
53	-	2	=
39	+	58	=
21	+	20	=
72	-	41	=
81	-	71	=
90	-	40	=
13	+	50	=
100	-	1	=
76	+	6	=
78	-	3	=
54	+	18	=
54	-	18	=
43	+	5	=
20	+	75	=
75	-	10	=
43	+	17	=
49	-	5	=
97	+	1	=
80	-	4	=
71	+	8	=
16	+	5	=
36	+	23	=
37	+	59	=
63	+	12	=
25	+	46	=
44	+	34	=
12	+	19	=
56	+	20	=
87	-	19	=
94	-	56	=
80	-	70	=
80	-	47	=
31	+	9	=
82	-	35	=
63	-	52	=
16	-	9	=
19	+	20	=
47	-	1	=
14	+	7	=
42	-	12	=
49	+	9	=
68	-	64	=
56	+	4	=
14	+	69	=
79	-	35	=
89	-	19	=
88	-	2	=
75	-	22	=
38	-	7	=
61	-	12	=
100	-	32	=
64	-	52	=
93	-	27	=
37	-	4	=
33	+	32	=
57	-	28	=
51	-	40	=
34	+	59	=
47	-	22	=
19	+	35	=
30	+	27	=
49	+	26	=
6	+	85	=
54	+	7	=
19	+	16	=
57	-	26	=
23	+	43	=
27	-	17	=
23	+	23	=
83	-	29	=
60	-	31	=
96	-	5	=
8	+	46	=
54	+	14	=
37	-	6	=
18	+	81	=
69	-	55	=
57	-	52	=
55	-	25	=
80	+	10	=
51	-	8	=
44	-	37	=
99	-	38	=
13	+	87	=
91	-	57	=
88	-	83	=
79	-	4	=
1	+	40	=
58	-	51	=
90	+	0	=
62	+	35	=
86	-	60	=
44	+	48	=
93	-	90	=
21	+	75	=
10	-	5	=
91	-	57	=
40	+	35	=
36	+	41	=
3	+	68	=
20	+	15	=
70	+	20	=
12	+	55	=
62	+	18	=
49	+	4	=
29	+	5	=
62	-	15	=
86	-	75	=
18	+	82	=
34	-	0	=
43	-	3	=
72	-	55	=
50	-	20	=
52	+	46	=
52	+	16	=
10	+	13	=
74	-	46	=
77	-	56	=
86	+	9	=
71	-	35	=
86	+	6	=
68	-	49	=
54	-	53	=
78	-	55	=
22	-	15	=
100	-	18	=
44	-	15	=
2	+	47	=
21	-	18	=
53	+	18	=
87	-	70	=
70	-	64	=
47	+	47	=
68	-	51	=
93	-	3	=
72	+	21	=
17	-	1	=
66	-	64	=
65	+	7	=
51	+	40	=
25	-	25	=
69	-	25	=
60	+	36	=
67	-	54	=
31	+	17	=
54	+	4	=
82	-	61	=
55	+	35	=
91	-	90	=
30	+	30	=
65	-	45	=
3	+	87	=
12	+	26	=
81	+	2	=
70	-	9	=
79	-	32	=
53	-	13	=
22	+	41	=
70	-	20	=
20	+	56	=
17	+	43	=
98	-	93	=
74	-	73	=
94	-	50	=
21	-	20	=
88	-	14	=
66	-	32	=
35	+	41	=
42	-	9	=
70	+	24	=
89	-	37	=
82	+	8	=
8	+	40	=
21	+	44	=
59	+	21	=
95	-	47	=
18	-	12	=
14	+	76	=
59	+	9	=
90	+	5	=
19	-	13	=
57	-	29	=
55	+	15	=
4	+	55	=
62	-	11	=
84	-	35	=
88	-	46	=
97	-	95	=
30	+	39	=
52	+	10	=
2	+	68	=
13	+	37	=
82	-	21	=
86	-	55	=
78	-	57	=
44	+	43	=
34	+	2	=
94	-	36	=
60	-	43	=
51	-	33	=
54	-	5	=
10	+	88	=
97	-	38	=
95	-	53	=
67	+	13	=
81	-	54	=
92	-	1	=
91	-	67	=
25	+	44	=
40	+	4	=
21	+	40	=
39	+	2	=
80	-	34	=
72	-	23	=
60	-	56	=
36	+	64	=
38	-	25	=
53	-	38	=
93	-	69	=
16	+	14	=
28	+	71	=
60	+	20	=
99	-	35	=
83	-	38	=
76	+	16	=
17	+	27	=
51	+	2	=
76	+	3	=
15	+	29	=
74	+	1	=
52	+	37	=
62	-	40	=
90	-	82	=
92	-	46	=
38	+	40	=
50	-	50	=
17	+	20	=
35	+	38	=
39	+	29	=
89	-	48	=
72	-	5	=
79	-	57	=
49	-	26	=
65	-	51	=
3	+	60	=
8	+	29	=
75	-	70	=
87	-	16	=
96	-	33	=
73	-	69	=
87	-	55	=
87	+	4	=
33	-	26	=
83	-	28	=
87	-	85	=
71	-	6	=
96	-	23	=
11	+	51	=
100	-	95	=
71	-	7	=
93	-	30	=
7	+	24	=
44	+	7	=
69	+	20	=
10	+	69	=
11	+	42	=
92	-	57	=
34	-	34	=
37	+	46	=
92	-	62	=
73	+	24	=
13	+	21	=
70	-	52	=
98	-	43	=
36	+	60	=
93	-	9	=
98	-	37	=
10	+	90	=
35	+	48	=
60	-	40	=
13	+	15	=
11	+	59	=
4	+	33	=
3	+	13	=
50	-	49	=
52	+	22	=
35	+	20	=
74	+	18	=
5	+	27	=
59	-	44	=
21	-	4	=
85	-	77	=
69	+	10	=
17	+	36	=
44	+	56	=
81	-	5	=
84	-	32	=
85	-	47	=
76	-	32	=
83	-	72	=
20	-	1	=
78	-	51	=
82	-	67	=
95	-	85	=
13	+	87	=
70	+	7	=
58	-	16	=
10	+	5	=
68	+	3	=
16	+	20	=
19	+	61	=
28	+	35	=
42	-	19	=
19	+	61	=
29	-	8	=
31	+	25	=
100	-	43	=
100	-	74	=
94	-	58	=
13	+	54	=
63	-	39	=
58	-	36	=
85	-	50	=
34	+	21	=
1	+	90	=
43	+	15	=
3	+	39	=
36	+	56	=
82	-	68	=
83	-	23	=
23	+	65	=
21	+	58	=
40	-	10	=
86	-	64	=
14	+	60	=
100	-	79	=
39	-	26	=
94	-	21	=
67	+	32	=
26	+	66	=
53	-	24	=
80	-	76	=
66	-	26	=
59	+	23	=
72	+	5	=
74	-	56	=
82	-	64	=
89	-	71	=
78	-	22	=
63	-	32	=
8	+	42	=
56	+	43	=
9	+	72	=
64	-	24	=
82	-	9	=
36	+	56	=
96	-	28	=
11	+	31	=
83	-	71	=
7	+	43	=
36	+	18	=
46	-	40	=
84	-	51	=
67	-	18	=
52	-	9	=
57	-	31	=
67	+	26	=
78	-	54	=
35	-	21	=
55	+	37	=
61	-	31	=
8	+	41	=
7	+	9	=
13	+	71	=
68	+	9	=
68	-	8	=
24	+	51	=
72	+	17	=
83	+	7	=
13	+	58	=
43	-	34	=
31	+	65	=
80	+	5	=
98	-	9	=
85	+	12	=
77	-	74	=
86	-	22	=
91	-	76	=
38	+	20	=
63	+	6	=
86	-	29	=
96	-	24	=
98	-	36	=
18	+	1	=
57	-	40	=
75	-	59	=
10	+	32	=
83	-	34	=
48	+	47	=
64	-	27	=
34	+	4	=
44	+	31	=
88	-	49	=
12	+	47	=
60	-	27	=
91	-	51	=
32	+	58	=
11	+	59	=
66	+	28	=
42	+	10	=
19	+	65	=
36	+	63	=
62	+	27	=
63	-	59	=
38	+	30	=
11	+	9	=
29	+	54	=
93	-	24	=
3	+	31	=
74	-	14	=
61	-	24	=
71	-	17	=
4	+	26	=
83	-	20	=
35	+	39	=
33	+	27	=
27	+	27	=
84	-	37	=
5	+	92	=
95	+	2	=
16	+	41	=
51	+	44	=
67	-	40	=
34	-	15	=
69	+	9	=
82	-	35	=
3	+	39	=
6	+	47	=
94	-	17	=
34	+	36	=
34	-	2	=
62	-	10	=
26	+	37	=
25	+	14	=
82	-	44	=
18	-	13	=
83	-	14	=
66	+	34	=
76	-	55	=
38	+	12	=
8	+	13	=
95	-	63	=
30	+	60	=
9	+	59	=
89	-	70	=
3	+	86	=
27	+	9	=
18	+	27	=
7	+	35	=
58	-	6	=
32	+	34	=
88	-	16	=
39	+	8	=
40	+	48	=
14	+	1	=
15	+	9	=
44	+	31	=
71	+	11	=
36	-	14	=
45	-	25	=
59	-	4	=
35	+	44	=
3	+	71	=
72	-	54	=
10	+	10	=
12	+	55	=
31	-	8	=
30	-	26	=
18	+	39	=
41	+	47	=
8	+	26	=
37	+	36	=
88	-	14	=
1	+	79	=
92	-	43	=
44	+	52	=
86	-	36	=
13	+	26	=
76	-	67	=
41	-	17	=
48	-	45	=
99	-	34	=
92	-	43	=
58	-	58	=
100	-	27	=
9	+	72	=
31	+	24	=
87	-	24	=
91	-	62	=
55	-	35	=
70	+	27	=
26	-	20	=
88	-	79	=
79	-	3	=
34	+	57	=
87	-	80	=
75	-	6	=
54	+	15	=
7	+	33	=
70	+	15	=
59	-	10	=
90	-	32	=
5	+	95	=
53	+	10	=
70	+	25	=
54	+	8	=
39	+	36	=
49	+	16	=
22	+	16	=
30	+	64	=
1	+	20	=
21	+	40	=
32	+	52	=
71	+	16	=
13	+	81	=
78	-	61	=
87	-	15	=
23	+	40	=
59	+	30	=
73	-	20	=
47	+	53	=
87	-	56	=
42	+	38	=
26	+	24	=
16	+	0	=
74	+	8	=
59	+	20	=
86	-	40	=
1	+	95	=
94	-	79	=
28	+	30	=
62	-	25	=
29	+	59	=
65	+	17	=
4	+	32	=
69	+	30	=
42	+	1	=
81	+	16	=
38	-	22	=
82	-	45	=
66	+	6	=
82	-	78	=
27	+	4	=
54	+	34	=
78	-	71	=
8	+	22	=
94	-	94	=
77	+	3	=
